@relation traffic_analysis
 
@attribute numPackSent numeric
@attribute numPackRec numeric
@attribute totalPackets numeric
@attribute numberAck numeric
@attribute headerBytesSent numeric
@attribute headerBytesRec numeric
@attribute totalHeaderBytes numeric
@attribute caplenSent numeric
@attribute caplenRec numeric
@attribute minPackLength numeric
@attribute maxPackLength numeric
@attribute avPackLength numeric
@attribute avPayload numeric
@attribute payloadSent numeric
@attribute payloadRec numeric
@attribute totalPayload numeric
@attribute totalSize numeric
@attribute class {TOR,SSH,SSLWEB,SSLp2p,SCP,SKYPE}
 
@data
708,1099,1807,1807,22656,44980,67636,2541272,83258,346,7506,1732.0,1380.0,2494544,912,2495456,3130490,SCP
30,31,61,60,968,1000,1968,3376,4594,346,1042,410.0,64.0,1388,2540,3928,25050,SSH
21,21,42,42,672,672,1344,1994,3834,346,1626,418.0,72.0,608,2448,3056,17588,SSH
20,20,40,40,640,640,1280,1912,2408,346,554,388.0,42.0,592,1088,1680,15520,SSH
24,24,48,48,768,768,1536,2320,3008,346,554,391.0,45.0,736,1424,2160,18768,SSH
197,263,460,460,3940,5320,9260,80050,221064,334,413,934.0,599.0,69412,206374,275786,430042,SSLWEB
54,47,101,81,960,880,1840,5833,7798,334,1750,419.0,81.0,3037,5234,8271,42391,SSH
716,1092,1808,1808,22912,45104,68016,2554688,83096,346,7506,1738.0,1387.0,2507432,864,2508296,3144024,SCP
1021,1019,2040,21,8300,8272,16572,136034,143125,334,622,449.0,94.0,93020,100151,193171,917495,SKYPE
877,1409,2286,2286,34028,45088,79116,64566,2102090,346,1778,1227.0,879.0,720,2009096,2009816,2806736,SCP
30,30,60,60,960,960,1920,2700,12540,346,1794,534.0,188.0,720,10560,11280,32040,SSH
2024,1103,3127,3127,40480,24204,64684,2564828,68484,340,439,1122.0,785.0,2455532,1144,2456676,3508872,SCP
36,35,71,71,732,712,1444,3413,2610,334,812,384.0,29.0,1457,611,2068,27311,TOR
791,1156,1947,1947,25312,50196,75508,2538158,90412,346,7506,1630.0,1277.0,2485952,912,2486864,3173730,SCP
16,18,34,33,412,468,880,2359,1704,334,819,417.0,58.0,1403,593,1996,14191,TOR
661,1046,1707,1707,21152,41540,62692,2558218,78016,346,7506,1824.0,1473.0,2514592,912,2515504,3114194,SCP
1062,1053,2115,22,8628,8556,17184,163335,126309,334,1363,449.0,94.0,118559,81889,200448,950132,SKYPE
32,32,64,63,1032,1032,2064,3508,9324,346,1794,480.0,134.0,1388,7204,8592,30752,SSH
154,225,379,379,3080,4500,7580,67786,211398,334,340,1016,681,59470,198942,258412,385304,TOR
18,20,38,33,324,376,700,1962,6309,334,1750,501.0,164.0,1026,5241,6267,19039,SSH
33,42,75,72,960,1248,2208,3422,3371,334,840,385.0,26.0,1340,661,2001,28945,TOR
122,126,248,241,3016,3144,6160,13742,11294,334,1482,399.0,41.0,6578,3645,10223,99116,TOR
573,465,1038,1016,14996,13572,28568,400211,37743,334,1814,719.0,359.0,365733,7581,373314,746770,SSLp2p
888,549,1437,1427,18856,13280,32136,715147,38501,334,1814,824.0,466.0,666099,4417,670516,1184328,SSLp2p
35,35,70,69,1128,1128,2256,3898,6506,346,1418,428.0,82.0,1580,4188,5768,30004,SSH
24,24,48,48,768,768,1536,2336,2944,346,538,390.0,44.0,752,1360,2112,18720,SSH
24,24,48,48,768,768,1536,2336,2944,346,554,390.0,44.0,752,1360,2112,18720,SSH
524,522,1046,12,4264,4248,8512,74066,69959,340,433,449.0,95.0,51986,47804,99790,470441,SKYPE
773,1141,1914,1914,24736,48936,73672,2548426,88690,346,7506,1657.0,1305.0,2497408,960,2498368,3173036,SCP
36,36,72,71,1160,1160,2320,3948,7788,346,1794,443.0,96.0,1564,5404,6968,31896,SSH
65,57,122,99,1288,1144,2432,6757,13415,334,1750,452.0,110.0,3259,10215,13474,55228,SSH
1047,1040,2087,12,8460,8380,16840,146123,133695,334,622,446.0,91.0,102065,89913,191978,931858,SKYPE
21,21,42,42,672,672,1344,1962,4538,346,1794,434.0,88.0,576,3152,3728,18260,SSH
1065,1060,2125,24,8676,8612,17288,131273,158707,334,1647,449.0,94.0,86387,113991,200378,955348,SKYPE
21,21,42,42,672,672,1344,2138,2586,346,650,392.0,46.0,752,1200,1952,16484,SSH
21,24,45,44,444,492,936,2322,5402,334,1750,451.0,115.0,1164,4052,5216,20324,SSH
33,33,66,65,1064,1064,2128,3622,6846,346,1794,438.0,92.0,1436,4660,6096,28948,SSH
164,279,443,443,3280,5580,8860,52948,314994,334,340,1110.0,776.0,44092,299682,343774,491982,TOR
9,9,18,18,192,180,372,925,753,334,739,392.0,37.0,427,241,668,7070,TOR
560,491,1051,1022,12764,11980,24744,330234,40627,334,1814,650.0,294.0,298430,10895,309325,683605,SSLp2p
124,155,279,259,2960,3584,6544,20363,22789,334,1814,445.0,95.0,13187,13527,26714,124344,SSLp2p
42,43,85,83,1360,1392,2752,5004,6942,346,1042,420.0,74.0,2216,4088,6304,35746,SSH
38,38,76,75,1224,1224,2448,4080,10040,346,1794,465.0,119.0,1564,7524,9088,35400,SSH
536,532,1068,51,4600,4556,9156,75627,78705,334,447,456.0,101.0,52803,55832,108635,487196,SKYPE
